Hacker,"Rate your personal preference of these items:  1 (low), 3 (medium),  5 (high)  [Python]","Rate your personal preference of these items:  1 (low), 3 (medium),  5 (high)  [R]","Rate your personal preference of these items:  1 (low), 3 (medium),  5 (high)  [Taylor Swift]","Rate your personal preference of these items:  1 (low), 3 (medium),  5 (high)  [Justin Bieber]","Rate your personal preference of these items:  1 (low), 3 (medium),  5 (high)  [Running]","Rate your personal preference of these items:  1 (low), 3 (medium),  5 (high)  [Ping Pong]","Rate your personal preference of these items:  1 (low), 3 (medium),  5 (high)  [Volleyball]","Rate your personal preference of these items:  1 (low), 3 (medium),  5 (high)  [Instagram]","Rate your personal preference of these items:  1 (low), 3 (medium),  5 (high)  [Physics]","Rate your personal preference of these items:  1 (low), 3 (medium),  5 (high)  [Joe Biden]","Rate your personal preference of these items:  1 (low), 3 (medium),  5 (high)  [Church]","Rate your personal preference of these items:  1 (low), 3 (medium),  5 (high)  [Snapchat]","Rate your personal preference of these items:  1 (low), 3 (medium),  5 (high)  [Design Thinking (human centered design)]","Rate your personal preference of these items:  1 (low), 3 (medium),  5 (high)  [Android]","Rate your personal preference of these items:  1 (low), 3 (medium),  5 (high)  [Chemistry]","Rate your personal preference of these items:  1 (low), 3 (medium),  5 (high)  [Charity work]","Rate your personal preference of these items:  1 (low), 3 (medium),  5 (high)  [Sleeping in]","Rate your personal preference of these items:  1 (low), 3 (medium),  5 (high)  [Hiking]","Rate your personal preference of these items:  1 (low), 3 (medium),  5 (high)  [Beaches]","Rate your personal preference of these items:  1 (low), 3 (medium),  5 (high)  [Netflix]","Rate your personal preference of these items:  1 (low), 3 (medium),  5 (high)  [Pitch Perfect Movies]","Rate your personal preference of these items:  1 (low), 3 (medium),  5 (high)  [Calculus]","Rate your personal preference of these items:  1 (low), 3 (medium),  5 (high)  [Bubble tea]","Rate your personal preference of these items:  1 (low), 3 (medium),  5 (high)  [Agile project management]","Rate your personal preference of these items:  1 (low), 3 (medium),  5 (high)  [Sunsets]"
SemperHack,4,5,2,1,5,5,5,2,4,1,4,1,5,3,4,3,2,5,5,2,3,4,2,5,5
temp,5,1,3,2,3,4,4,4,3,3,3,4,4,4,3,4,5,4,5,5,4,4,5,4,5
A,5,3,3,2,3,4,5,3,4,3,3,4,4,4,4,5,5,5,5,2,2,3,2,4,5
jl8wf,5,3,1,1,3,3,5,1,3,5,2,1,3,2,2,3,4,4,3,3,3,3,3,5,4
Kurt Goerg,5,1,4,4,4,5,5,5,2,3,3,4,4,3,2,4,5,4,5,5,2,3,2,3,4
Emily,4,1,5,2,4,3,5,4,2,5,4,3,3,1,3,4,5,5,5,4,4,3,5,2,5
MarekS,4,2,2,1,4,3,3,3,4,4,3,3,5,5,3,4,4,5,5,4,3,4,1,5,5
ac9kf,5,5,3,2,3,2,4,3,1,3,1,2,5,4,3,5,4,4,4,3,3,2,4,3,5
mmirza,4,1,4,3,4,4,4,5,4,4,1,4,4,2,1,5,4,4,4,5,1,1,1,4,5
bpl4vv,5,1,3,5,3,5,4,4,1,2,1,1,3,3,3,3,5,4,5,4,4,4,5,5,5
allo!,4,2,3,2,3,3,2,2,4,2,4,2,2,4,5,4,3,3,3,2,2,4,3,4,4
keks,3,1,3,5,3,4,4,5,4,1,5,5,5,3,3,5,5,5,5,5,5,5,5,4,5
ET,4,3,3,3,2,3,3,3,3,3,3,2,3,1,3,2,4,3,3,4,3,1,3,3,3
HakcerDude48,5,2,1,1,1,4,1,3,5,5,1,3,4,3,4,1,5,1,1,3,1,4,3,3,3
lili,4,3,1,1,4,4,3,4,2,3,3,2,3,5,2,4,1,3,4,2,4,4,4,4,4
Suri,5,1,3,2,5,2,2,5,5,4,1,1,5,4,3,5,3,5,5,4,1,5,5,5,5
karen,5,4,5,1,3,4,3,1,1,4,3,1,4,1,1,5,5,4,2,4,1,3,5,3,5
Mr. Titor,3,1,1,1,1,5,2,4,2,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3
